Treebank	Train size	Test sen length	Test sen length	Test size	DiGraph Exact	Graph Exact	Average deplength	Average deplength	SoA Performance	DiGraph Exact	Graph Exact	Adistance	Adistance	WALS 20A: Fusion of Selected Inflectional Formatives	WALS 21B: inflectional synthesis of the verb	WALS 26A: Prefixing vs. Suffixing in Inflectional Morphology		Open Class	Open Class	POS-bigram
UD_Norwegian-Nynorsk	14174	232453.6	16.4	1511	0.4460622105	0.4745201853	3.3637	47677.0838	90.99	31775.8368	29870.17294	0.8665833996	12282.95311	-	4	2	-	0.3023	4284.8002	7.625287418
UD_English-LinES	3176	54309.6	17.1	1035	0.3671497585	0.4009661836	3.3909	10769.4984	81.97	8650.421053	7920.86747	0.6920306958	2197.88949	1	0	2	3176	0.2957	939.1432	6.689663814
UD_Hindi_English-HIENCS	1448	21140.8	14.6	225	0.1866666667	0.2355555556	3.0944	4480.6912	-	-	6147.169811	0.6920306958	1002.060447	1	4	2	289.6	0.3371	488.1208	9.036141543
UD_Indonesian-GSD	4477	94464.7	21.1	557	0.2172351885	0.2567324955	3.2941	14747.6857	80.05	20609	17438.38462	0.8556311769	3830.660779	2	0	2	4477	0.323	1446.071	6.971316636
UD_Latin-ITTB	16809	238687.8	14.2	2101	0.5740123751	0.590671109	3.5285	59310.5565	87.08	29283.3408	28457.46092	0.871121537	14642.68192	-	4	-	-	0.3263	5484.7767	8.154348492
UD_Estonian-EDT	24633	371958.3	15.1	3214	0.5314250156	0.56565028	3.4282	84446.8506	85.35	46352.72951	43548.10891	0.8179962555	20149.70176	-	4	2	-	0.3681	9067.4073	7.788946547
UD_Croatian-SET	6914	147959.6	21.4	1136	0.1830985915	0.2121478873	3.5033	24221.8162	87.36	37761.07692	32590.47303	0.8067178728	5577.647373	-	4	2	-	0.3417	2362.5138	7.743155526
UD_Gothic-PROIEL	3387	33531.3	9.9	1029	0.6695821186	0.6899902818	2.7039	9158.1093	69.55	5058.37881	4908.764789	0.657271987	2226.18022	-	4	-	-	0.3927	1330.0749	8.133680845
UD_Swedish_Sign_Language-SSLC	87	722.1	8.3	34	0.4411764706	0.4705882353	2.461	214.107	-	-	184.875	0.6430894309	55.94878049	-	4	2	-	0.7199	62.6313	5.952859227
UD_Norwegian-Bokmaal	15696	243288	15.5	1939	0.506446622	0.5342960289	3.2697	51321.2112	91.23	30992.40733	29376.97297	0.837014502	13137.77962	-	4	2	-	0.2939	4613.0544	7.711459635
UD_Chinese-GSDSimp	3997	95928	24	500	0.124	0.136	4.3446	17365.3662	-	-	29389.70588	0.8492047232	3394.271279	5	4	2	799.4	0.423	1690.731	7.042766034
UD_Korean-GSD	4400	51920	11.8	989	0.5945399393	0.6268958544	3.3149	14585.56	-	-	7018.709677	0.7685275413	3381.521182	1	4	2	880	0.6286	2765.84	4.623634648
UD_Swedish-LinES	3176	52086.4	16.4	1035	0.3835748792	0.4115942029	3.2923	10456.3448	84.08	8280	7716.338028	0.6854033755	2176.841121	-	4	2	-	0.2978	945.8128	7.404870284
UD_Polish-LFG	13774	104682.4	7.6	1727	0.9160393746	0.9305153445	2.4651	33954.2874	94.86	15036.47155	14802.55009	0.8440236648	11625.58196	-	4	2	-	0.3542	4878.7508	7.425887225
UD_Basque-BDT	5396	72846	13.5	1799	0.4958310172	0.5125069483	3.3247	17940.0812	19.53	10882.73991	10528.63774	0.6527218183	3522.086931	1	4	4	1079.2	0.4065	2193.474	7.028352491
UD_Slovak-SNK	8483	104340.9	12.3	1061	0.5353440151	0.561734213	2.9443	24976.4969	88.85	15845.88556	15101.44799	0.8094573643	6866.626822	-	4	-	-	0.3424	2904.5792	8.851384474
UD_Russian-Taiga	1435	16646	11.6	884	0.4988687783	0.5373303167	3.069	4404.015	74.24	2876.507937	2670.610526	0.5378839894	771.8635248	1	3	2	358.75	0.3311	475.1285	8.376213309
UD_Maltese-MUDT	1123	24032.2	21.4	518	0.1853281853	0.1930501931	3.4813	3909.4999	-	-	5817.14	0.6145564169	690.1468562	-	4	-	-	0.3543	397.8789	7.432501009
UD_Ancient_Greek-Perseus	11476	183616	16	1306	0.4640122511	0.4777947933	3.8495	44176.862	79.39	24732.10561	24018.67949	0.7654314907	8784.091788	1	3	2	2869	0.3948	4530.7248	8.333115737
UD_Urdu-UDTB	4043	111991.1	27.7	535	0.08971962617	0.108411215	3.9165	15834.4095	83.39	45062.60417	37293.18966	0.841273376	3401.268259	-	4	2	-	0.3324	1343.8932	5.269513023
UD_Romanian-RRT	8043	180163.2	22.4	729	0.1330589849	0.1577503429	3.3424	26882.9232	86.87	60446.87629	50985.62609	0.8831278651	7102.997419	-	4	2	-	0.3573	2873.7639	7.187278687
UD_Latin-PROIEL	15917	178270.4	11.2	1260	0.6642857143	0.696031746	3.0528	48591.4176	73.61	23961.07527	22868.20981	0.8781532678	13977.56556	-	4		-	0.4095	6518.0115	8.484323838
UD_Hungarian-Szeged	910	21203	23.3	449	0.0868596882	0.09576837416	3.9532	3597.412	82.66	10476.66667	9502.093023	0.6152829652	559.9074983	1	4	2	182	0.3145	286.195	6.939170345
UD_Hindi-HDTB	13304	279384	21	1684	0.2684085511	0.2963182898	3.9823	52980.5192	92.41	49566.23009	44897.66733	0.83760904	11143.55067	1	4	2	2660.8	0.3189	4242.6456	5.532704001
UD_Classical_Chinese-Kyoto	11004	56120.4	5.1	2073	0.9493487699	0.9585142306	2.0204	22232.4816	-	-	11480.26774	0.8528426551	9384.680577	5	4	2	2200.8	0.5945	6541.878	5.654477333
UD_Norwegian-NynorskLIA	3412	35826	10.5	957	0.6332288401	0.6384535005	3.0822	10516.4664	70.34	5388.257426	5344.163666	0.6911005505	2358.035078	-	4		-	0.1922	655.7864	8.513982176
UD_Lithuanian-HSE	153	2952.9	19.3	55	0.03636363636	0.03636363636	3.5962	550.2186	-	-	4207.5	0.6733668342	103.0251256	-	4	2	-	0.3858	59.0274	8.195534627
UD_Slovenian-SSJ	6478	115956.2	17.9	788	0.3578680203	0.3845177665	3.46	22413.88	91.47	18101.64539	16847.07591	0.8585490627	5561.680828	-	4	2	-	0.3209	2078.7902	7.44865074
UD_Bulgarian-BTB	8907	125588.7	14.1	1116	0.5125448029	0.54390681	3.1301	27879.8007	91.22	17377.99301	16375.96705	0.8338418134	7427.029032	-	4	2	-	0.3293	2933.0751	6.694973526
UD_Ancient_Greek-PROIEL	15014	190677.8	12.7	1047	0.5969436485	0.6341929322	3.1253	46923.2542	79.25	25151.4528	23674.18373	0.8925683481	13401.02118	-	4	2	-	0.3532	5302.9448	7.79582841
UD_Japanese-GSD	7125	160312.5	22.5	550	0.2454545455	0.2745454545	3.5489	25285.9125	83.11	29027.77778	25951.98675	0.8978666667	6397.3	1	4	2	1425	0.3524	2510.85	4.686551786
UD_Telugu-MTG	1051	5149.9	4.9	146	0.9657534247	0.9657534247	2.0153	2118.0803	-	-	1088.269504	0.8578351908	901.5847855	-	4	2	-	0.4605	483.9855	4.235536619
UD_Korean-Kaist	23010	285324	12.4	2287	0.5732400525	0.6139046786	3.0196	69480.996	86.91	40140.25172	37481.38889	0.8922474122	20530.61295	1	4	2	4602	0.4483	10315.383	6.899974389
UD_English-GUM	3753	67178.7	17.9	890	0.3483146067	0.3808988764	3.4364	12896.8092	85.05	10774.74194	9853.00885	0.7442594169	2793.205592	1	0	2	3753	0.2983	1119.5199	7.313584693
UD_Romanian-Nonstandard	13739	273406.1	19.9	1052	0.3479087452	0.3792775665	3.5773	49148.5247	-	-	36224.13033	0.8192152698	11255.19859	-	4	2	-	0.3126	4294.8114	7.764645681
UD_Old_Church_Slavonic-PROIEL	4124	36291.2	8.8	1141	0.7379491674	0.7651183173	2.5913	10686.5212	75.73	5588.460808	5390.016037	0.684449004	2822.667693	-	4	-	-	0.3935	1622.794	7.628031022
UD_Danish-DDT	4383	77579.1	17.7	565	0.3362831858	0.3769911504	3.5663	15631.0929	86.28	13033.65789	11626.26761	0.8592071889	3765.905109	-	4	-	-	0.2921	1280.2743	7.169761955
UD_English-ESL	4124	79180.8	19.2	500	0.278	0.29	3.4732	14323.4768	-	-	14220.68966	0.8911070332	3674.925405	1	0	2	4124	0.283	1167.092	6.538341906
UD_Irish-IDT	858	19133.4	22.3	454	0.2665198238	0.2731277533	3.5517	3047.3586	70.88	3219.272727	3141.387097	0.6092859105	522.7673112	-	4	-	-	0.3376	289.6608	7.023565137
UD_Afrikaans-AfriBooms	1315	31165.5	23.7	425	0.08705882353	0.09411764706	3.3886	4456.009	85.47	15104.72973	13971.875	0.718618826	944.9837562	-	4	-	-	0.2895	380.6925	6.875219379
UD_Chinese-GSD	3997	95928	24	500	0.126	0.134	4.3476	17377.3572	76.77	31722.22222	29828.35821	0.8487455864	3392.436109	5	4	2	799.4	0.423	1690.731	7.055311766
UD_Belarusian-HSE	319	6858.5	21.5	253	0.162055336	0.1778656126	3.6867	1176.0573	-	-	1793.488889	0.7650282194	244.044002	-	4	2	-	0.4272	136.2768	6.220492479
UD_Serbian-SET	3328	73216	22	520	0.1423076923	0.15	3.5095	11679.616	88.66	23385.94595	22186.66667	0.8114389941	2700.468973	-	4	2	-	0.3358	1117.5424	7.437307954
UD_Russian-GSD	3850	72765	18.9	601	0.2728785358	0.3011647255	3.4781	13390.685	-	-	12783.70166	0.835298219	3215.898143	1	3	2	962.5	0.3606	1388.31	6.454613605
UD_Uyghur-UDT	1656	19044	11.5	900	0.5255555556	0.5566666667	3.211	5317.416	67.05	3150.951374	2974.850299	0.5137369954	850.7484644	-	4	2	-	0.5503	911.2968	5.533181487													